athlete,title,description,url,publish_date
LeBron James,Does LeBron James Hate Stephon Marbury? Exploring Team USA Star & Ex-Knick's Complicated Past After Paris Olympics Awkwardness,"LeBron James & Stephon Marbury - a familiar duo for many, not for their heartening friendship, rather for the latter's constant jabs at LBJ.",https://www.essentiallysports.com/nba-active-basketball-news-does-lebron-james-hate-stephon-marbury-exploring-team-usa-star-and-ex-knick-s-complicated-past-after-paris-olympics-awkwardness/,2024-08-13T12:37:46Z
LeBron James,LeBron James Helps Coco Gauff in Finding Silver Lining in Horrific Maiden Olympics Outing,"Coco Gauff has found solace in her unnerving Olympics run and surprisingly, takes great pride in standing alongside flag-bearer LeBron James.",https://www.essentiallysports.com/wta-tennis-news-lebron-james-helps-coco-gauff-in-finding-silver-lining-in-horrific-maiden-olympics-outing/,2024-08-13T11:09:42Z
LeBron James,"Kevin Durant joins Ryan Reynolds, LeBron James, Tom Brady and J.J. Watt by buying stake in $4.4 billion football club with massive international following","Kevin Durant is joining the big money club.LeBron James, Ryan Reynolds, Tom Brady and J.J. Watt already hold special keys to the front gate.By becomin",https://talksport.com/football/2006335/kevin-durant-paris-saint-germain-ryan-reynolds-purchase-worth/,2024-08-13T10:02:30Z
LeBron James,LeBron 'super humbled' by third Olympic basketball gold,LeBron James said his third Olympics gold felt the best of them all as the NBA's all-time leading scorer helped Team USA beat France.,https://sports.inquirer.net/580026/lebron-super-humbled-by-third-olympic-basketball-gold,2024-08-13T07:34:59Z
LeBron James,“They Ignored Marketing”: Stephen A Smith Blasts Team USA Over Caitlin Clark Snub but Applauds LeBron James’ Genius Move in Paris,Stephen A. Smith believes Team USA despite winning eighth Olympic gold medal this Summer missed another important opportunity.,https://www.essentiallysports.com/wnba-basketball-news-they-ignored-marketing-stephen-a-smith-blasts-team-usa-over-caitlin-clark-snub-but-applauds-lebron-james-genius-move-in-paris/,2024-08-13T06:07:08Z
LeBron James,"Stephen Curry 'Deserved' Olympics MVP Over LeBron for Twice Saving Team USA, Claims Stephen A. Smith","Stephen A. Smith admits that Stephen Curry deserved the MVP title over LeBron James at the Olympics, but is not fully against the decision.",https://www.essentiallysports.com/nba-active-basketball-news-stephen-curry-deserved-olympics-mvp-over-lebron-james-for-twice-saving-team-usa-claims-stephen-a-smith/,2024-08-13T04:22:50Z
LeBron James,"LA Olympics 2028: Teasing LeBron James & Kyrie Irving Reunion, Paul George Solves USA Basketball's Big Dilemma","Following the Paris Olympics glory, Paul George settled a growing concern in Team USA basketball by teaming up LeBron James and Kyrie Irving",https://www.essentiallysports.com/nba-active-basketball-news-la-olympics-2028-teasing-lebron-james-kyrie-irving-reunion-paul-george-solves-usa-basketball-s-big-dilemma/,2024-08-13T02:13:11Z
LeBron James,"Topps unveils rare LeBron, Curry, Durant-signed Paris Olympics card","As rare as it was for LeBron James, Stephen Curry and Kevin Durant to team up for a handful of games this summer, now there is a collectable commemorating their time together at the Paris Olympics that's even rarer.",https://www.espn.com/nba/story/_/id/40839681/topps-announces-rare-lebron-curry-durant-signed-paris-olympics-card,2024-08-13T00:14:00Z
Andrés Iniesta,Aston Villa lead Liverpool and Newcastle in race for €50m ace compared to Andres Iniesta,The latest Aston Villa transfer news as links to exciting German talent Brajan Gruda emerge with exciting claims about the club's positioning ahead of rivals,https://www.birminghammail.co.uk/sport/football/transfer-news/aston-villa-lead-liverpool-newcastle-29470551,2024-07-04T07:25:13Z
Andrés Iniesta,Scotland: Billy Gilmour set for key role in do-or-die Euro 2024 clash,"The composed Brighton man, who models his game on Andres Iniesta, must thwart Granit Xhaka",https://www.standard.co.uk/sport/football/gilmour-gives-scots-better-chance-of-holding-onto-euro-dream-b1165341.html,2024-06-19T10:28:25Z
Andrés Iniesta,‘Want it more’ - Cesc Fabregas reveals Phil Foden flaw and the key difference with Xavi and Andres Iniesta,Cesc Fabregas has told Phil Foden to take more responsibility if he wants to put himself in the same bracket as Xavi or Andres Iniesta.The Manchester,https://talksport.com/football/1922417/phil-foden-england-cesc-fabregas-serbia-euro-2024/,2024-06-16T22:12:07Z
Andrés Iniesta,"Barcelona Legend Andres Iniesta Lauds Cristiano Ronaldo’s Al Nassr, Weighs In on Saudi League, Hinting at Potential Move",Cristiano Ronaldo's Al Nassr is one of the Saudi clubs Andres Iniesta is keeping tabs on. Is a move on the cards?,https://www.essentiallysports.com/soccer-football-news-barcelona-legend-andres-iniesta-lauds-cristiano-ronaldo-al-nassr-weighs-in-on-saudi-league-hinting-at-potential-move/,2024-05-30T02:31:08Z
Andrés Iniesta,I played against Barcelona legends Xavi and Andres Iniesta but nobody was tougher than AC Milan's 'brick wall',"Scott Brown may have played against Xavi, Andres Iniesta and Kaka - but none came close to physical specimen Clarence Seedorf.The Celtic legend enjoye",https://talksport.com/football/1834918/scott-brown-celtic-clarence-seedorf-xavi-andres-iniesta/,2024-04-19T09:35:56Z
Andrés Iniesta,Andres Iniesta pays back additional tax owed in Japan over failure to declare part of income,"If a foreign player's contract is for less than one year and they are not accompanied by family members, Japanese authorities classify them as non-residents and they pay less tax than residents, reports said, citing the National Tax Agency.",https://www.firstpost.com/sports/football-news/andres-iniesta-tax-payment-japan-13752330.html,2024-03-24T07:53:06Z
Andrés Iniesta,Andres Iniesta Pays Back Extra Tax Owed in Japan: Report,The Osaka regional tax bureau judged that during 2018 Andres Iniesta was a resident as he lived with his family members on a multi-year contract and was issued with an additional tax demand.,https://www.news18.com/football/andres-iniesta-pays-back-extra-tax-owed-in-japan-report-8826944.html,2024-03-24T05:29:10Z
Andrés Iniesta,Former Premier League star looks unrecognisable as is seen coaching Andres Iniesta without trademark long hair,Former Premier League striker Benito Carbone looks unrecognisable in an Instagram post of him coaching Andres Iniesta.The ex-Italian youth internation,https://talksport.com/football/1765555/benito-carbone-premier-league-andres-iniesta/,2024-02-27T15:54:13Z
Andrés Iniesta,11 Best Players in EUROs History (Ranked),"A ranking of the top 11 players in European Championships history, featuring Cristiano Ronaldo, Zinedine Zidane and Andres Iniesta.",https://www.givemesport.com/best-players-european-championships-euros-history-football/,2024-02-23T21:30:12Z
Andrés Iniesta,Rafael Nadal and Andres Iniesta lead list of Spanish superstars supporting Ilia Topuria ahead of UFC 298 title fight,"Ilia Topuria is being backed by some of Spain’s biggest stars ahead of UFC 298.The Georgian fighter, who relocated to Alicante with his family 15 ye",https://talksport.com/sport/1752758/rafael-nadal-andres-iniesta-ilia-topuria-ufc-298/,2024-02-16T17:31:54Z
Ronaldinho,Who is Chelsea Target Gabriel Mec,"Chelsea are exploring a move for Brazilian wonderkid Gabriel Mec, who comes from the same academy as Ronaldinho and has been compared to Neymar.",https://www.givemesport.com/chelsea-gabriel-mec-player-profile-transfer-news/,2024-08-10T19:30:27Z
Ronaldinho,Ronaldinho helps launch new 'legacy' Barcelona kit but fans unhappy with one feature,Barcelona have released their new kit commemorating their 125-year history but fans are not entirely happy.To celebrate Barcelona's 125 years of histo,https://talksport.com/football/1972091/barcelona-new-kit-launch-ronaldinho-spotify-logo/,2024-07-18T10:51:56Z
Ronaldinho,“Everything We’ve Been Through”: Kobe Bryant’s Memories Get Ronaldinho Nostalgic as He Recalls Introducing Messi and ‘Black Mamba’,"Ronaldinho reflects on his deep bond with Kobe Bryant during a nostalgic visit to Complex, with the rare Kobe-Ronaldinho Hyper Dunks.",https://www.essentiallysports.com/nba-legends-basketball-news-everything-weve-been-through-kobe-bryants-memories-get-ronaldinho-nostalgic-as-he-recalls-introducing-messi-and-black-mamba/,2024-07-17T16:18:01Z
Ronaldinho,"Phil Foden was offered Lionel Messi, Ronaldinho and Zinedine Zidane but he turned them all down for one Man City star","Some may call Lionel Messi the best player of all-time, or Zinedine Zidane, or even Diego Maradona.Phil Foden, though, would rather have Manchester Ci",https://talksport.com/football/1954572/phil-foden-messi-maradona-zidane-silva-england-euro-2024/,2024-07-09T09:44:02Z
Ronaldinho,"Neymar Ranks Football Legends Including Ronaldinho, Ronaldo and Messi",Brazilian idol Neymar has cast his verdict on star names of football from past and present.,https://www.givemesport.com/neymar-chooses-between-football-legends-cristiano-ronaldo-ronaldinho/,2024-07-05T07:42:18Z
Ronaldinho,10 Greatest No.10s in Brazil History Ranked,"From Ronaldinho to Neymar, these are the 10 greatest Brazilians to where the famous No.10 for their country.",https://www.givemesport.com/the-10-greatest-no10s-in-brazil-history-ranked/,2024-07-02T19:00:14Z
Ronaldinho,Man Utd transfer target reminds me of Ronaldinho - but I cannot compare him to anyone,Manchester United target Joshua Zirkzee has been compared to Brazil legend Ronaldinho as the club explore ways to bring the exciting Dutch striker to Old Trafford,https://www.manchestereveningnews.co.uk/sport/football/football-news/man-utd-transfer-news-zirkzee-29413534,2024-06-25T08:36:52Z
Ronaldinho,Football legend Ronaldinho opens restaurant in Geneva,"Ronaldinho Gaucho's first restaurant in Châtelaine near Geneva serves burgers and is named ""R10"" after the famous footballer's shirt number.",https://www.swissinfo.ch/eng/culture/football-legend-ronaldinho-opens-restaurant-in-geneva/81635223,2024-06-24T09:11:24Z
Ronaldinho,"Ronaldinho backtracks on Brazil team comments, explains true meaning behind them","On Friday in an interview on social media, Ronaldinho said the Brazilian team lacked ""joy"", ""grit"" and ""dedication"".",https://www.firstpost.com/sports/football-news/ronaldinho-brazil-team-copa-america-13783086.html,2024-06-16T15:06:32Z
Ronaldinho,Ronaldinho aims dig at Douglas Luiz in astonishing Brazil rant,Aston Villa news from BirminghamLive as Brazil great has a pop at the national team squad that includes Villa ace Douglas Luiz,https://www.birminghammail.co.uk/sport/football/football-news/ronaldinho-aims-dig-douglas-luiz-29363635,2024-06-16T10:52:19Z
Karim Benzema,10 Greatest Number 9s in Real Madrid’s History [Ranked],"From Ronaldo Nazario to Karim Benzema, there have been some legendary names to wear the no.9 jersey.",https://www.givemesport.com/greatest-number-nine-real-madrid-history-ranked-cristiano-ronaldo/,2024-08-10T18:00:43Z
Karim Benzema,"Kylian Mbappe Officially Unveiled as Real Madrid Player, Takes Over Karim Benzema's Number 9 Jersey","Mbappe has been handed the number 9 jersey, donned previously by Ballon D'or winner and French striker Karim Benzema.",https://www.news18.com/football/kylian-mbappe-officially-unveiled-as-real-madrid-player-offered-number-9-jersey-8967743.html,2024-07-16T10:17:19Z
Karim Benzema,Jude Bellingham: Real Madrid midfielder faces former club Borussia Dortmund having helped fill Karim Benzema void,Jude Bellingham has produced a brilliant debut season for Real Madrid. How has he done it? Nick Wright takes a look with insight from Fernando Morientes. Follow Borussia Dortmund vs Real Madrid on Sky Sports digital platforms on Saturday; kick-off 8pm,https://www.skysports.com/football/news/11095/13142481/jude-bellingham-real-madrid-midfielder-faces-former-club-borussia-dortmund-having-helped-fill-karim-benzema-void,2024-06-01T09:07:00Z
Karim Benzema,Jude Bellingham: Real Madrid midfielder faces former club Borussia Dortmund having helped fill Karim Benzema void,Jude Bellingham has produced a brilliant debut season for Real Madrid. How has he done it? Nick Wright takes a look with insight from Fernando Morientes. Follow Borussia Dortmund vs Real Madrid on Sky Sports digital platforms on Saturday; kick-off 8pm,https://www.skysports.com/football/news/11095/13142481/how-extraordinary-bellingham-filled-madrid-s-benzema-void,2024-06-01T09:07:00Z
Karim Benzema,Al-Hilal shifts focus to the Asian Champions League semifinals as it continues a four-title bid,The likes of Cristiano Ronaldo and Karim Benzema haven’t been able to halt Al-Hilal’s dominant run in Saudi Arabia’s domestic soccer league.,https://apnews.com/article/hilal-asian-champions-league-86adffb7d6ad1163d716696b4bf22cd7,2024-04-15T06:24:19Z
Karim Benzema,Spectator lashes teammate of N'Golo Kante and Karim Benzema with whip in shocking scenes after Saudi Super Cup final,An Al Ittihad player appeared to be whipped by a spectator in the aftermath of the Saudi Super Cup final on Thursday.Al Ittihad were facing Al Hilal f,https://talksport.com/football/1824075/al-ittihad-player-whipped-spectator-al-hilal-shocking-scenes/,2024-04-11T21:50:17Z
Karim Benzema,Saudi Pro League stars Ronaldo and Benzema share Eid wishes with fans,Saudi Pro League stars Cristiano Ronaldo and Karim Benzema extended eid wished to their fans and muslims across the world on the occasion of Eid-ul-Fitr 2024. Both players took to social media...,https://www.thenews.com.pk/latest/1177501-saudi-pro-league-stars-ronaldo-and-benzema-share-eid-wishes-with-fans,2024-04-09T19:00:00Z
Karim Benzema,Al Ittihad Sets Sights on $108 Million Mohamed Salah Deal Amid Karim Benzema’s Departure Intentions,Mohamed Salah gets back on Al Ittihad's radar amid Liverpool's plans to sell and Karim Benzema's imminent departure.,https://www.essentiallysports.com/soccer-football-news-al-ittihad-sets-sights-on-million-mohamed-salah-deal-amid-karim-benzemas-departure-intentions/,2024-04-07T06:43:10Z
Karim Benzema,Karim Benzema Opens up About Struggles After Joining Al-Ittihad,Karim Benzema has opened up on his struggles since joining Al-Ittihad in 2023 and didn't hold back in his assessment.,https://www.givemesport.com/karim-benzema-opens-up-struggles-al-ittihad/,2024-04-06T14:25:59Z
Karim Benzema,Karim Benzema brutally blames standard of teammates for terrible goalscoring form in Saudi Arabia,Real Madrid legend Karim Benzema has blamed his teammates for his poor form in Saudi Arabia.Benzema's high-profile move to the Saudi Pro League has no,https://talksport.com/football/1816348/karim-benzema-al-ittihad-saudi-arabia-goals-form/,2024-04-06T12:03:49Z
Kevin Durant,Timberwolves Urged to Make $220 Million Sacrifice to Unite Anthony Edwards & Kevin Durant After Dream Paris Olympics,"Despite Suns' GM's adamant statement of not breaking up the Big 3, Paris Olympics have Kevin Durant to Timberwolves trade rumors pick up.",https://www.essentiallysports.com/nba-active-basketball-news-timberwolves-urged-to-make-two-hundred-and-twenty-million-million-sacrifice-to-unite-anthony-edwards-kevin-durant-after-dream-paris-olympics/,2024-08-13T13:13:46Z
Kevin Durant,What is Kevin Durant’s Favorite Soccer Team? Exploring Suns Star’s European Loyalty Prior to PSG Investment,"Following his latest investment in the Paris Saint-Germain FC, let's find out Kevin Durant's interests in the European soccer world.",https://www.essentiallysports.com/nba-active-basketball-news-soccer-football-news-what-is-kevin-durant-s-favorite-soccer-team-exploring-suns-stars-european-loyalty-prior-to-psg-investment/,2024-08-13T10:30:54Z
Kevin Durant,"Kevin Durant joins Ryan Reynolds, LeBron James, Tom Brady and J.J. Watt by buying stake in $4.4 billion football club with massive international following","Kevin Durant is joining the big money club.LeBron James, Ryan Reynolds, Tom Brady and J.J. Watt already hold special keys to the front gate.By becomin",https://talksport.com/football/2006335/kevin-durant-paris-saint-germain-ryan-reynolds-purchase-worth/,2024-08-13T10:02:30Z
Kevin Durant,"Fans Shocked as Devin Booker Appears With Mystery Woman on Lavish French Getaway Alongside Kevin Durant: ""Got a Baddie""","Devin Booker seems to be linking up with a new beau as he, Kevin Durant, and a mystery woman hang out at a yacht after Olympic win",https://www.essentiallysports.com/nba-active-basketball-news-devin-booker-spotted-with-mysterious-woman-on-lavish-french-getaway-alongside-kevin-durant/,2024-08-13T06:03:13Z
Kevin Durant,"Steph Curry Has Overcome Kevin Durant's Shadow With Paris Olympics Heroics, per Nick Wright",Nick Wright believes Stephen Curry's takeover in the final two games of the Paris Olympics has helped him overcome Kevin Durant's shadow,https://www.essentiallysports.com/nba-active-basketball-news-steph-curry-has-overcome-kevin-durant-s-shadow-with-paris-olympics-heroics-per-nick-wright/,2024-08-13T05:45:17Z
Kevin Durant,"Topps unveils rare LeBron, Curry, Durant-signed Paris Olympics card","As rare as it was for LeBron James, Stephen Curry and Kevin Durant to team up for a handful of games this summer, now there is a collectable commemorating their time together at the Paris Olympics that's even rarer.",https://www.espn.com/nba/story/_/id/40839681/topps-announces-rare-lebron-curry-durant-signed-paris-olympics-card,2024-08-13T00:14:00Z
Kevin Durant,"After $685 Million Franchise Success, Kevin Durant Extends Soccer Investment to Lionel Messi’s Ex-Team","Apart from winning a fourth gold medal, Kevin Durant also used his trip to Paris to invest in Ligue 1 champions PSG. Read more here.",https://www.essentiallysports.com/nba-active-basketball-news-after-six-hundred-eighty-five-million-franchise-success-kevin-durant-extends-soccer-investment-to-lionel-messi-s-ex-team/,2024-08-12T17:29:53Z
Kevin Durant,"Suns News: As $198 Million Penalty Looms, Kevin Durant Might Ditch Devin Booker for Another USA Basketball Star",NBA analyst speculates Kevin Durant might ditch Devin Booker in Pheonix as $198 million penalty looms over Suns.,https://www.essentiallysports.com/nba-active-basketball-news-suns-news-as-one-ninety-eight-million-penalty-looms-kevin-durant-might-ditch-devin-booker-for-another-usa-basketball-star-anthony-edwards-kendrick-perkins/,2024-08-12T16:41:52Z
Kevin Durant,Suns' Kevin Durant admits he's thought about retirement from NBA: 'It creeps in my mind for sure',The 35-year-old Durant will soon begin his 17th season in the league,https://www.cbssports.com/nba/news/suns-kevin-durant-admits-hes-thought-about-retirement-from-nba-it-creeps-in-my-mind-for-sure/,2024-08-12T15:32:12Z
Kevin Durant,“Sacrificed My S*icide”: Mom Wanda Wanted to Quit on Kevin Durant as Details on Scary Day Emerge,"Kevin Durant's mother gets into deep conversation with NBA moms, revealing the sacrifice for her sons during tough stage of motherhood.",https://www.essentiallysports.com/nba-active-basketball-news-sacrificed-my-sicide-mom-wanda-wanted-to-quit-on-kevin-durant-as-details-on-scary-day-emerge/,2024-08-12T14:51:58Z
Gerard Piqué,Players Who Played With Messi and Ronaldo Answer the Debate,"Superstars including Gerard Pique, Paulo Dybala and Henrik Larson have their say on the famous debate.",https://www.givemesport.com/players-who-played-with-messi-and-ronaldo-answer-debate/,2024-06-14T19:31:42Z
Gerard Piqué,Gerard Piqué to be investigated over Super Cup’s Saudi Arabia switch,A Spanish judge has placed Gerard Piqué under official investigation for his alleged involvement in illegal payments in the relocation of Spain’s Super Cup to Saudi Arabia,https://www.theguardian.com/football/article/2024/may/30/gerard-pique-to-be-investigated-over-super-cups-saudi-arabia-switch,2024-05-30T19:04:00Z
Gerard Piqué,Gerard Pique urges Sir Jim Ratcliffe to make huge call on Man United boss Erik ten Hag,Man United co-owner Sir Jim Ratcliffe is currently undertaking a season review before deciding whether or not to sack Erik ten Hag,https://www.manchestereveningnews.co.uk/sport/football/football-news/gerard-pique-urges-sir-jim-29260885,2024-05-29T19:55:15Z
Gerard Piqué,Sir Alex Ferguson was my second dad but joining club was wrong move,Former Manchester United centre-back Gerard Pique has claimed that he wanted to head back to Spain after just six months at Old Trafford,https://www.manchestereveningnews.co.uk/sport/football/football-news/man-united-wonderkid-sir-alex-29101047,2024-05-02T17:00:00Z
Gerard Piqué,Is Shakira Dating Lucien Laviscount After Gerard Pique Split?,"Shakira and Lucien Laviscount have reportedly been 'casually dating' after separating from her former partner, Gerard Pique. Details on her romance.",https://hollywoodlife.com/feature/is-shakira-dating-lucien-laviscount-5268299/,2024-04-12T20:55:02Z
Gerard Piqué,Gerard Pique Names Combined 11 From Man Utd and Barcelona Teammates,"Lionel Messi and Paul Scholes both feature in Gerard Pique's combined XI, made up of past Man United and Barcelona teammates.",https://www.givemesport.com/gerard-pique-combined-11-manchester-united-barcelona-teammates/,2024-04-04T19:06:35Z
Gerard Piqué,Shakira’s pals ‘worried’ about new romance with Lucien Laviscount,"Shakira’s friends are concerned for the singer’s next heartbreak after dealing with a messy split with ex-partner Gerard Piqué.The Columbian singer, 47, is reportedly dating Emily...",https://www.thenews.com.pk/latest/1175572-shakiras-pals-worried-about-new-romance-with-lucien-laviscount,2024-04-03T19:00:00Z
Gerard Piqué,Shakira is ‘dating’ Lucien Laviscount: ‘Desperate to fall in love’,"Shakira has found a new flame following her messy split from Gerard Piqué in June 2022.The Colombian singer, 47, is now dating Lucien Laviscount, 31, after they starred in the singer’s...",https://www.thenews.com.pk/latest/1175543-shakira-is-dating-lucien-laviscount-desperate-to-fall-in-love,2024-04-03T19:00:00Z
Gerard Piqué,Shakira: I feel the Barbie movie is emasculating to a certain extent,The pop star also reflected on separating with Gerard Pique in June 2022 after 11 years together and releasing her first album in seven years.,https://www.breakingnews.ie/entertainment/shakira-i-feel-the-barbie-movie-is-emasculating-to-a-certain-extent-1608532.html,2024-04-01T23:00:00Z
Gerard Piqué,Shakira Says Gerard Pique Was 'Dragging Me Down': Watch,"Shakir said her ex Gerard Pique was ""dragging me down"" during an appearance on 'The Tonight Show.' Watch her interview, performance.",https://www.billboard.com/music/latin/shakira-gerard-pique-dragging-me-down-1235641365/,2024-03-26T16:21:39Z
Luis Suárez,10 Greatest MLS Strikers in Football History [Ranked],"From Luis Suarez to Landon Donovan, here are 10 of the greatest forwards to play in the MLS.",https://www.givemesport.com/greatest-mls-strikers-football-soccer-history/,2024-07-28T18:35:00Z
Luis Suárez,9 Most Expensive Transfers in MLS History (Ranked),Who are the most expensive transfers in MLS History? Both Lionel Messi and Luis Suarez don't feature in our list.,https://www.givemesport.com/mls-most-expensive-soccer-transfers-ever-ranked/,2024-07-28T04:50:27Z
Luis Suárez,Lionel Messi-Less Inter Miami Secure 2-0 Win In League Cup Opener,Paraguay's Matias Rojas opened the scoring in the ninth minute and Uruguayan striker Luis Suarez added an insurance goal in the 72nd minute to deliver Inter Miami's triumph.,https://www.news18.com/football/lionel-messi-less-inter-miami-secure-2-0-win-in-league-cup-opener-8981351.html,2024-07-28T03:23:04Z
Luis Suárez,How Takefusa Kubo almost stopped Barcelona signing Luis Suarez from Liverpool,Takefusa Kubo has been linked with a move to Liverpool from Real Sociedad,https://www.liverpoolecho.co.uk/sport/football/football-news/how-takefusa-kubo-almost-stopped-29598436,2024-07-24T07:45:18Z
Luis Suárez,Lionel Messi’s stunning wife Antonela Roccuzzo shows off bum on boat trip with Luis Suarez and family after injury hell,LIONEL MESSI wore a protective boot as he enjoyed his summer holiday with wife Antonela Roccuzzo... and pal Luis Suarez.Messi and Antonela made the mo,https://www.thesun.ie/sport/13459262/lionel-messi-wife-antonela-roccuzzo-luis-suarez-miami/,2024-07-23T06:57:48Z
Luis Suárez,"Lionel Messi, Luis Suárez Will Miss 2024 MLS All-Star Game with Injuries","Inter Miami confirmed Monday that Lionel Messi and Luis Suárez will miss the MLS All-Star Game on Wednesday. ""Leo Messi will miss the All-Star Game due to an…",https://bleacherreport.com/articles/10129179-lionel-messi-luis-suarez-will-miss-2024-mls-all-star-game-with-injuries,2024-07-22T22:42:21Z
Luis Suárez,Luis Suarez sends perfect Liverpool message to Darwin Nunez and makes key demand,Liverpool striker Darwin Nunez will be hoping to replicate his Uruguay form in the Premier League and Champions League for the Reds this season,https://www.liverpoolecho.co.uk/sport/football/football-news/luis-suarez-sends-perfect-liverpool-29559684,2024-07-17T14:00:00Z
Luis Suárez,Luis Suarez drops retirement hint as Darwin Nunez reacts before potential football ban,Aston Villa news with the latest headlines and transfers rumours from the summer window including the Liverpool ECHO's take on Luis Suarez and Darwin Nunez,https://www.liverpoolecho.co.uk/sport/football/football-news/luis-suarez-drops-retirement-hint-29540904,2024-07-15T03:00:00Z
Luis Suárez,Luis Suárez denies Canada as Uruguay snatch third-place at Copa América,Uruguay needed a late equaliser from Luis Suárez and penalties to beat Canada in Saturday’s Copa America third-place playoff match,https://www.theguardian.com/football/article/2024/jul/14/luis-suarez-canada-uruguay-snatch-third-place-copa-america-match-report,2024-07-14T10:23:36Z
Luis Suárez,Uruguay rallies to beat Canada 4-3 in penalty kicks to take third at Copa America,"CHARLOTTE, N.C. (AP) — Luis Suárez still has a knack for big plays.",https://www.vancouverisawesome.com/national-sports/uruguay-rallies-to-beat-canada-4-3-in-penalty-kicks-to-take-third-at-copa-america-9217743,2024-07-14T04:03:45Z
